"","school","stuid","grade","schid","dist","white","black","hisp","indian","asian","econ","female","ell","disab","sch_fay","dist_fay","luck","ability","measerr","teachq","year","attday","schoolscore","district","schoolhigh","schoolavg","schoollow","readSS","mathSS","proflvl","race"
"118850",785,59705,7,205,75,1,0,0,0,0,1,0,0,0,0,0,0,98.28071211253,-10.2731347490529,46.1422258399205,"2000",159,214.16283636779,23,0,1,0,411.050540770738,488.152818556189,"below basic","W"
"118889",785,32495,7,495,45,1,0,0,0,0,1,0,0,0,0,0,0,112.016485197229,24.6525381107099,60.7638148173718,"2000",168,214.16283636779,23,0,1,0,451.618852324833,568.736906829311,"basic","W"
"119207",785,127205,7,205,15,1,0,0,0,0,1,0,0,0,0,0,0,106.474508492117,-47.5807960879322,77.7735334627319,"2000",156,214.16283636779,23,0,1,0,526.490056438817,528.098131856389,"proficient","W"
"119249",785,95495,7,495,45,1,0,0,0,0,1,0,0,0,0,0,0,100.768886778059,-9.86799453385142,75.4165980443683,"2000",180,214.16283636779,23,0,1,0,514.102379565157,554.959523063712,"proficient","W"
"119286",785,56495,7,495,45,1,0,0,0,0,1,0,0,0,0,0,1,105.47198847811,2.70196076252388,56.4250753283422,"2000",170,214.16283636779,23,0,1,0,483.853308237837,546.015467662733,"proficient","W"
"119439",785,2705,7,205,75,1,0,0,0,0,1,0,0,0,0,0,1,102.406252065144,-11.2324229905112,74.4699791319859,"2000",174,214.16283636779,23,0,1,0,505.468066512557,568.411955544404,"proficient","W"
"119478",785,35495,7,495,45,1,0,0,0,0,1,0,0,0,0,0,0,102.822564838166,23.793855271812,47.7249740298947,"2000",180,214.16283636779,23,0,1,0,426.166116664441,530.217202587758,"basic","W"
"119507",785,143705,7,205,75,1,0,0,0,0,1,0,0,0,0,0,0,110.711340332541,-6.43215588018526,85.0212131801442,"2000",169,214.16283636779,23,0,1,0,501.702332269228,589.307129493225,"proficient","W"
"119525",785,37902,8,402,66,0,1,0,0,0,1,0,1,0,1,1,0,114.381935281519,-11.7323339715174,24.1611259590938,"2000",180,213.757263439035,23,0,1,0,431.924860323516,440.564013920392,"below basic","B"
"119571",785,40205,7,205,15,1,0,0,0,0,1,0,0,0,0,0,0,83.2488360678674,28.9123132632212,41.6321985460149,"2000",180,214.16283636779,23,0,1,0,418.15203442923,502.45985548456,"below basic","W"
"119709",785,86495,7,495,45,1,0,0,0,0,1,0,0,0,0,0,0,95.98898769586,-30.9392831034427,65.5064650244151,"2000",164,214.16283636779,23,0,1,0,465.32081032331,507.471998053973,"basic","W"
"119727",785,47495,7,495,45,1,0,0,0,0,1,0,0,0,0,0,0,102.071444621658,-23.9916861593817,62.4464606239733,"2000",177,214.16283636779,23,0,1,0,470.513888583934,513.821285137809,"basic","W"
"119781",785,98705,7,205,75,1,0,0,0,0,1,0,0,0,0,0,1,101.707798768293,2.18108882709981,52.1613598181705,"2000",179,214.16283636779,23,0,1,0,464.725777511046,532.421632160405,"basic","W"
"120312",801,49402,6,402,6,0,1,0,0,0,1,1,0,0,1,1,0,110.616053800614,23.7941993246368,28.9250212207512,"2000",170,215.120417932642,10,1,0,0,438.936071512459,473.423220843017,"basic","B"
"120505",802,142205,7,205,15,1,0,0,0,0,0,1,1,0,0,0,0,95.4581014655591,-11.861185720715,97.4837094115397,"2000",155,215.711868282277,1,1,0,0,574.473116802048,620.38777348212,"proficient","W"
"120744",803,66995,7,495,105,1,0,0,0,0,1,0,0,1,0,0,0,117.37710953368,-14.4110331312153,67.3198521049486,"2000",180,215.87255749899,22,0,1,0,503.322987446297,486.74278178925,"proficient","W"
"120814",804,94402,6,402,6,1,0,0,0,0,1,0,0,0,1,0,0,111.472672380293,18.8472873192795,53.8414642036693,"2000",180,215.891558257366,3,0,1,0,463.009573472542,535.510230746328,"proficient","W"
"120846",804,115402,6,402,6,1,0,0,0,0,1,0,0,0,1,0,0,98.5053442472304,-28.5015420903817,68.4431367053841,"2000",180,215.891558257366,3,0,1,0,489.902125792486,507.073232807345,"proficient","W"
"121091",806,10402,6,402,6,1,0,0,0,0,1,1,1,0,0,0,0,103.570428623446,21.3984463392003,58.1526300963749,"2000",166,216.990833528206,19,0,1,0,478.929792097278,516.97615935411,"proficient","W"
"121639",810,57402,8,402,6,0,0,1,0,0,1,0,1,0,0,0,0,90.8387290180838,-13.9967324235253,53.4358655196888,"2000",173,222.569240299985,24,0,1,0,459.09907982046,484.469467457676,"basic","H"
"122207",810,99402,8,402,6,0,0,1,0,0,1,0,1,0,0,0,0,92.9337909427629,30.858288948239,45.8242162088877,"2000",180,222.569240299985,24,0,1,0,443.330818058192,514.801387102096,"basic","H"
"122589",815,18402,8,402,6,0,1,0,0,0,1,1,0,0,0,0,0,95.0671364336656,-16.2147445897899,50.0783169586108,"2000",180,223.548976761119,2,0,1,0,499.272784788233,541.804961341721,"basic","B"
"122766",815,31902,8,402,66,0,1,0,0,0,1,1,0,0,0,0,0,111.255076412984,8.78866297386663,39.67018354569,"2000",171,223.548976761119,2,0,1,0,471.621899484911,560.272710186768,"basic","B"
"123390",815,15402,8,402,6,0,1,0,0,0,1,1,0,0,0,0,1,85.4375008641608,9.33397301476665,32.6099748612705,"2000",146,223.548976761119,2,0,1,0,451.292393957871,534.832421127343,"basic","B"
"123514",815,54402,8,402,6,0,1,0,0,0,1,1,0,0,0,0,0,99.4129460090399,5.60881196177385,38.0668954830593,"2000",179,223.548976761119,2,0,1,0,483.937011694435,541.750343726938,"basic","B"
"123527",815,24402,8,402,6,0,1,0,0,0,1,1,0,0,0,0,1,89.4036594678677,13.7244814909191,67.7407766267937,"2000",173,223.548976761119,2,0,1,0,558.060083084164,619.888550981689,"proficient","B"
"124719",815,70902,8,402,66,0,1,0,0,0,1,1,0,0,0,0,0,100.433289655738,18.4378042803609,28.9644081257518,"2000",166,223.548976761119,2,0,1,0,464.145998478642,535.726637941658,"basic","B"
"124757",815,69402,8,402,6,0,1,0,0,0,1,1,0,0,0,0,0,82.0707536864207,-9.3768600604689,52.6736869566747,"2000",143,223.548976761119,2,0,1,0,521.117988042869,541.312815001593,"proficient","B"
"125439",831,64902,8,402,66,0,0,1,0,0,1,0,1,1,0,0,0,106.978143474316,-6.33919432483684,68.0097257790022,"2000",180,224.278961431185,15,0,0,1,478.816238959267,472.735554033241,"basic","H"
"125535",831,138402,8,402,6,0,0,1,0,0,1,0,1,1,0,0,1,98.5807197657137,-11.2038778626278,71.1068813876519,"2000",180,224.278961431185,15,0,0,1,495.614073559649,481.481529254301,"basic","H"
"125742",835,124902,8,402,66,0,1,0,0,0,1,1,0,1,0,0,0,103.621531378864,6.52970634413227,24.1648347530396,"2000",164,225.258697892319,21,0,0,1,394.155181827249,449.17878966619,"below basic","B"
"125924",835,144402,8,402,6,0,1,0,0,0,1,1,0,1,0,0,0,104.769513359728,2.32980637978714,52.2141654971521,"2000",164,225.258697892319,21,0,0,1,490.927530035248,507.365684665584,"basic","B"
"126581",840,77705,7,205,75,0,1,0,0,0,1,1,0,0,1,0,0,112.259049707058,-4.76846344596306,61.338028883125,"2000",180,225.277698650695,10,0,1,0,543.101736160856,583.26160368514,"proficient","B"
"126731",840,68705,7,205,75,0,1,0,0,0,1,1,0,0,1,0,0,94.505487204462,11.9078978360121,42.5532200857452,"2000",160,225.277698650695,10,0,1,0,495.32224451955,541.172393894466,"proficient","B"
"126783",840,60995,7,495,105,0,1,0,0,0,1,1,0,0,1,0,0,104.48221062075,-9.01580528464859,12.7775002279499,"2000",180,225.277698650695,10,0,1,0,399.42515159722,465.217455303776,"below basic","B"
"126801",840,53705,7,205,75,0,1,0,0,0,1,1,0,0,1,0,0,104.532432831953,-32.290883146932,61.5650408975109,"2000",180,225.277698650695,10,0,1,0,521.78264027369,548.508191992978,"proficient","B"
"127027",848,87402,8,402,6,0,1,0,0,0,1,0,0,0,1,1,1,93.650178103617,-8.56738392570978,9.15512729155452,"2000",163,225.754853000778,4,0,1,0,420.969599274632,429.088910208597,"below basic","B"
"127247",851,71495,7,495,45,0,0,1,0,0,1,0,1,1,1,0,0,90.0700904166019,8.89489656608156,76.3790447720138,"2000",180,226.007683320761,18,0,0,1,466.582079572728,477.569577921234,"basic","H"
"127302",851,21705,5,205,75,0,0,0,0,1,1,1,1,0,1,1,0,92.4027327677912,13.917402520957,72.122344808689,"2000",180,226.751279994462,18,0,0,1,420.606515677286,508.664968770935,"basic","A"
"127363",852,36995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,103.093394605716,32.761892488091,85.6648769590743,"2000",176,227.709457844019,19,0,1,0,551.994179723664,662.295697393555,"proficient","W"
"127449",852,82205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,1,92.2642216915698,10.3563024590009,106.977127565759,"2000",180,227.709457844019,19,0,1,0,580.849366618436,690.837195567956,"advanced","W"
"127506",852,104495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,0,96.5992760839215,29.8500980287387,60.8834517688485,"2000",150,227.709457844019,19,0,1,0,526.383986855155,598.785639236257,"proficient","W"
"127719",852,20495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,0,109.179998326571,6.08734611146686,76.3093957986966,"2000",180,227.709457844019,19,0,1,0,545.946456706267,621.282363259758,"proficient","W"
"127791",852,80495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,0,83.3345356498245,23.4947990365767,105.662845154543,"2000",172,227.709457844019,19,0,1,0,545.286837537662,676.930388640432,"proficient","W"
"127843",852,8705,7,205,75,1,0,0,0,0,0,1,0,0,0,0,0,107.123426216897,12.0856103421002,56.2445533221437,"2000",175,227.709457844019,19,0,1,0,501.997894810531,581.4174081861,"proficient","W"
"128014",852,12995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,83.871669243834,-9.63455831834021,53.7015943249537,"2000",180,227.709457844019,19,0,1,0,476.398788072295,530.893557201054,"basic","W"
"128043",852,14495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,0,104.311605246423,-12.8547511383692,117.317580713946,"2000",162,227.709457844019,19,0,1,0,648.951692808242,687.003155857771,"advanced","W"
"128106",852,145205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,0,108.257290757921,-18.4980418771039,155.7368561941,"2000",137,227.709457844019,19,0,1,0,705.691907885968,769.184586730551,"advanced","W"
"128124",852,53495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,1,96.605204508551,-4.25057418270227,89.1548327529988,"2000",180,227.709457844019,19,0,1,0,575.522834061073,641.660705660888,"proficient","W"
"128169",852,132995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,89.0669088274831,20.0630646028503,68.2185994769855,"2000",169,227.709457844019,19,0,1,0,461.440813401217,597.480728981465,"basic","W"
"128288",852,4205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,0,93.138295806085,21.9168359065233,49.7605162099153,"2000",173,227.709457844019,19,0,1,0,493.911311251806,563.107203508097,"proficient","W"
"128301",852,72995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,99.0211252028657,13.1752748168641,72.0280766059086,"2000",159,227.709457844019,19,0,1,0,549.69272599907,608.864211674228,"proficient","W"
"128584",852,10205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,0,117.2815021425,-29.6302630880366,84.2260074364483,"2000",176,227.709457844019,19,0,1,0,591.516844399044,610.950231742265,"advanced","W"
"128657",852,54995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,112.245256776721,-11.0143353322626,85.9674295750625,"2000",170,227.709457844019,19,0,1,0,572.797094587074,628.331880947216,"proficient","W"
"128859",852,128705,7,205,75,1,0,0,0,0,0,1,0,0,0,0,0,101.352406276174,-10.7306016054073,62.1241500876858,"2000",146,227.709457844019,19,0,1,0,513.600500591836,565.66682933692,"proficient","W"
"128868",852,133205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,1,107.038439042559,-2.40097885973124,73.3188383963083,"2000",166,227.709457844019,19,0,1,0,549.123875294057,619.369537811673,"proficient","W"
"129032",852,22205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,0,94.1557806345354,2.28922942971887,106.323745401593,"2000",168,227.709457844019,19,0,1,0,573.152055633884,667.988977113025,"proficient","W"
"129094",852,41705,7,205,75,1,0,0,0,0,0,1,0,0,0,0,1,103.326650014926,-28.4566396368111,95.3356204009868,"2000",166,227.709457844019,19,0,1,0,623.1519269354,637.670314945039,"advanced","W"
"129100",852,119705,7,205,75,1,0,0,0,0,0,1,0,0,0,0,0,95.5748722570325,15.0394911026546,81.5864533008903,"2000",171,227.709457844019,19,0,1,0,547.77919513083,628.150538975657,"proficient","W"
"129168",852,74495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,0,105.073111013768,-28.3164697107133,84.8337458449403,"2000",167,227.709457844019,19,0,1,0,545.377846069779,601.382481289984,"proficient","W"
"129234",852,144995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,80.7209731692895,46.5974592517603,75.6042893638059,"2000",178,227.709457844019,19,0,1,0,528.476888886239,631.794024812484,"proficient","W"
"129481",852,63995,7,495,105,1,0,0,0,0,0,1,0,0,0,0,0,103.513202181817,6.91655465714596,45.5818164127247,"2000",166,227.709457844019,19,0,1,0,478.294040336625,549.358665671091,"basic","W"
"129596",852,13205,7,205,15,1,0,0,0,0,0,1,0,0,0,0,0,101.785021000177,24.2531757605826,108.33083136331,"2000",174,227.709457844019,19,0,1,0,633.479827870712,701.964142223612,"advanced","W"
"129662",852,5495,7,495,45,1,0,0,0,0,0,1,0,0,0,0,0,119.419672399193,-14.735702636933,57.1258259905511,"2000",180,227.709457844019,19,0,1,0,530.609313989546,568.816383450111,"proficient","W"
"130158",872,110902,6,402,66,1,0,0,0,0,1,1,0,0,0,0,0,107.89654320017,38.3195148299448,75.1999155162076,"2000",158,228.988423089948,16,0,1,0,518.495667254565,599.049300738831,"proficient","W"
"130314",872,106402,6,402,6,1,0,0,0,0,1,1,0,0,0,0,1,88.5433529291783,19.6742250951764,44.9829878550459,"2000",180,228.988423089948,16,0,1,0,452.558446901726,510.325798312305,"proficient","W"
"130438",872,146902,6,402,66,1,0,0,0,0,1,1,0,0,0,0,0,117.218951381907,10.1923608845125,62.0727291049161,"2000",179,228.988423089948,16,0,1,0,473.676082386023,551.584572996737,"proficient","W"
"130617",872,1402,6,402,6,1,0,0,0,0,1,1,0,0,0,0,1,95.865808752349,-14.9981307684727,51.468169076246,"2000",169,228.988423089948,16,0,1,0,477.704400070261,497.134695983907,"proficient","W"
"130620",872,11902,6,402,66,1,0,0,0,0,1,1,0,0,0,0,0,105.006314061074,-7.8259329154716,89.2481373558452,"2000",178,228.988423089948,16,0,1,0,557.095665336102,580.684460097357,"advanced","W"
"131379",872,149902,6,402,66,1,0,0,0,0,1,1,0,0,0,0,0,101.375526546344,9.18088457682198,53.9042842074312,"2000",164,228.988423089948,16,0,1,0,457.026115613633,516.895882020797,"proficient","W"
"131390",872,7402,6,402,6,1,0,0,0,0,1,1,0,0,0,0,0,85.4953720725216,10.4760532434543,63.7247141154413,"2000",171,228.988423089948,16,0,1,0,466.219264175095,523.751388895391,"proficient","W"
"131575",872,35902,6,402,66,1,0,0,0,0,1,1,0,0,0,0,0,96.1231290844413,-9.66760825633523,63.3105297250295,"2000",156,228.988423089948,16,0,1,0,429.761032660211,513.331214688708,"basic","W"
"131854",886,118902,8,402,66,1,0,0,0,0,1,0,1,1,0,0,0,112.62663152954,-1.05306992351047,69.9170223275464,"2000",167,229.334989727541,18,0,1,0,509.686932582774,507.724811305545,"proficient","W"
"131863",886,92705,7,205,75,1,0,0,0,0,0,1,0,1,0,0,0,97.055797454975,5.97506954713614,92.6455811045107,"2000",149,229.419178975219,18,0,1,0,523.163607403224,582.10725477486,"proficient","W"
"132023",886,995,7,495,105,1,0,0,0,0,0,1,0,1,0,0,1,92.2958731109932,-11.0474588638454,83.9833322053509,"2000",180,229.419178975219,18,0,1,0,569.75593539179,556.659117793473,"proficient","W"
"132647",892,144495,5,495,45,1,0,0,0,0,1,1,0,0,1,0,0,94.9466216006,0.667618086226748,43.3551946911738,"2000",173,230.717144979524,25,0,1,0,453.197235808352,467.158005966488,"proficient","W"
"132718",892,128205,5,205,15,1,0,0,0,0,1,1,0,0,1,0,1,93.6488425038664,-5.60260657224117,74.9211161932852,"2000",156,230.717144979524,25,0,1,0,507.84881921349,543.752631120775,"proficient","W"
"133029",895,100902,8,402,66,0,0,0,0,1,0,1,1,0,0,0,0,108.496385705597,5.02747995225256,96.4749400907222,"2000",180,233.900873577011,15,0,1,0,595.86305689813,710.451654035722,"proficient","A"
"133478",898,62495,7,495,45,0,0,1,0,0,1,1,1,0,0,0,1,89.9253969931529,-7.87213860578057,30.2933787967097,"2000",180,237.394827022143,23,0,0,1,357.352976873156,438.904061286766,"below basic","H"
"133572",898,77495,7,495,45,0,0,1,0,0,1,1,1,0,0,0,0,102.588263463826,10.5731258553159,65.8600987216413,"2000",180,237.394827022143,23,0,0,1,452.374117115952,532.417169891247,"basic","H"
"133696",898,146705,7,205,75,0,0,1,0,0,1,1,1,0,0,0,0,86.0687799710825,-10.118097059919,70.7379239581463,"2000",166,237.394827022143,23,0,0,1,464.516013529447,505.855994844518,"basic","H"
"133959",898,113705,7,205,75,0,0,1,0,0,1,1,1,0,0,0,1,115.69340049758,-34.2084722832124,55.6466468801007,"2000",180,237.394827022143,23,0,0,1,438.855415871671,493.688354562339,"basic","H"
"133993",898,71705,7,205,75,0,0,1,0,0,1,1,1,0,0,0,0,96.5271036210002,-3.63538355242464,71.4889196840497,"2000",165,237.394827022143,23,0,0,1,465.362229210959,524.436646409457,"basic","H"
"134231",904,29495,7,495,45,0,0,1,0,0,1,1,1,1,0,0,1,101.641512688486,0.164001430877784,98.4244986681122,"2000",180,239.104548153343,11,1,0,0,549.47027442988,557.698153785031,"proficient","H"
"134279",904,44495,7,495,45,0,0,1,0,0,1,1,1,1,0,0,0,93.9590952118882,1.97969682915727,38.6813728131325,"2000",155,239.104548153343,11,1,0,0,413.187727165673,406.150809249098,"below basic","H"
"134335",904,14705,7,205,75,0,0,1,0,0,1,1,1,1,0,0,0,106.719787282212,-25.1999977217933,23.130135093288,"2000",168,239.104548153343,11,1,0,0,410.405584208938,357.779505122997,"below basic","H"
"134393",904,119495,7,495,45,0,0,1,0,0,1,1,1,1,0,0,0,91.0663084040001,-6.85005808307107,37.8015212628484,"2000",147,239.104548153343,11,1,0,0,402.92138380814,392.507328130032,"below basic","H"
"135885",905,133902,8,402,66,1,0,0,0,0,1,0,0,0,0,0,1,113.901655680762,17.2840192830184,38.7797227091445,"2000",155,239.622858158084,6,1,0,0,465.228508921066,568.968912739448,"basic","W"
"135999",905,90402,8,402,6,1,0,0,0,0,1,0,0,0,0,0,0,82.0862736464897,11.1146076741838,61.1723195716234,"2000",163,239.622858158084,6,1,0,0,445.913609936654,564.626640160199,"basic","W"
"136499",905,55902,8,402,66,1,0,0,0,0,1,0,0,0,0,0,0,111.282073473538,-23.5724882750173,99.1295419947884,"2000",180,239.622858158084,6,1,0,0,610.700282296778,642.005600962429,"advanced","W"
"136529",905,42402,8,402,6,1,0,0,0,0,1,0,0,0,0,0,1,87.3678665927286,12.3587599475136,52.0668276470989,"2000",180,239.622858158084,6,1,0,0,487.522874042508,566.518989054119,"basic","W"
"136600",910,103205,7,205,15,0,1,0,0,0,1,1,0,0,1,1,1,92.1918696051615,13.9509705274898,45.4476788065516,"2000",178,240.580439722936,14,0,0,1,437.839702459956,513.887866824727,"basic","B"
"136972",911,88902,8,402,66,1,0,0,0,0,1,0,0,1,0,0,0,107.828100255021,-7.72724374706396,61.6040715893208,"2000",180,241.332579289284,8,0,1,0,527.449072059722,501.710227999397,"proficient","W"
"137005",911,85902,8,402,66,1,0,0,0,0,1,0,0,1,0,0,0,82.3035918360057,33.4293899856798,56.0507571647042,"2000",177,241.332579289284,8,0,1,0,485.072135076128,505.218057493498,"basic","W"
"137077",911,147402,8,402,6,1,0,0,0,0,1,0,0,1,0,0,0,104.757779228528,-18.6748436656129,59.0619095334003,"2000",162,241.332579289284,8,0,1,0,495.472182831773,482.142121628011,"basic","W"
"137371",912,32705,7,205,75,1,0,0,0,0,1,0,0,0,1,0,0,105.025749190453,25.8633017530155,75.1472848600855,"2000",174,241.35158004766,12,0,0,1,489.605475960515,608.162374640598,"proficient","W"
"137502",918,131495,7,495,45,1,0,0,0,0,0,1,1,0,1,0,0,97.7258826700951,-10.7897757122055,62.9313871666866,"2000",164,242.900611962147,19,0,1,0,523.961648714801,558.683434330685,"proficient","W"
"137580",918,37205,7,205,15,1,0,0,0,0,1,1,1,0,0,0,0,112.139313732092,15.1458204865948,78.761237986785,"2000",180,242.4508553185,19,0,1,0,500.780644376689,594.597910472842,"proficient","W"
"137587",918,17705,7,205,75,1,0,0,0,0,1,0,0,1,1,0,0,96.6408184881152,22.6039127380803,53.6741939274332,"2000",180,243.06130117886,19,0,1,0,457.182321324642,491.77680280513,"basic","W"
"137648",918,51995,7,495,105,1,0,0,0,0,1,1,1,1,0,0,0,116.297216575667,-3.17562855403676,79.6063737304147,"2000",180,244.160576449699,19,0,1,0,545.20481460134,519.674837616099,"proficient","W"
"137698",919,33402,8,402,6,0,0,0,1,1,0,1,0,0,0,0,0,96.0529256109563,16.8924911514532,75.6241993642457,"2000",169,245.49706255418,19,0,1,0,492.44877541546,674.165497199564,"basic","I"
"138161",925,20902,6,402,66,0,0,1,0,0,1,1,0,0,1,0,0,94.940320459851,-5.15242228690435,89.2830348475848,"2000",151,251.121138473462,18,0,1,0,542.244357770336,576.769570653549,"proficient","H"
"138352",925,48402,8,402,6,0,1,0,0,0,1,1,0,1,1,0,0,94.5871477913512,-0.312207761038442,36.2520304640464,"2000",169,252.447441572189,18,0,1,0,511.031139129535,482.983845592623,"proficient","B"
"139301",927,13902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,95.1200096306371,10.9599175191815,66.6847684495435,"2000",157,253.169479634313,12,0,0,1,471.220780786094,616.648974911172,"basic","W"
"139358",927,66402,8,402,6,1,0,0,0,0,0,1,0,0,0,0,0,92.3487733575927,25.3409211859652,74.1870022938709,"2000",163,253.169479634313,12,0,0,1,519.342958439152,644.638024204284,"proficient","W"
"139465",927,130902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,106.104140574124,-35.9269696777771,86.383482155602,"2000",162,253.169479634313,12,0,0,1,507.58780020121,623.753513756951,"proficient","W"
"139499",927,46902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,97.1720065393993,-9.95863647367976,74.3486785314394,"2000",174,253.169479634313,12,0,0,1,477.299864343511,614.514680015585,"basic","W"
"139537",927,117402,8,402,6,1,0,0,0,0,0,1,0,0,0,0,0,98.53697185208,-23.0777650257187,87.5461933094647,"2000",144,253.169479634313,12,0,0,1,542.526431297709,631.574043441203,"proficient","W"
"139542",927,45402,8,402,6,1,0,0,0,0,0,1,0,0,0,0,0,86.5528521969405,5.62275433075795,74.5920622327599,"2000",170,253.169479634313,12,0,0,1,496.434741276924,620.008284912135,"basic","W"
"139975",927,72402,8,402,6,1,0,0,0,0,0,1,0,0,0,0,0,91.5489673175803,17.4284943751122,82.2848818499124,"2000",180,253.169479634313,12,0,0,1,502.785614347618,653.605519123549,"proficient","W"
"139992",927,51402,8,402,6,1,0,0,0,0,0,1,0,0,0,0,0,101.066342712919,-21.7537439663527,136.650113953314,"2000",168,253.169479634313,12,0,0,1,623.203574578168,742.633765539742,"advanced","W"
"140052",927,27402,8,402,6,1,0,0,0,0,0,1,0,0,0,0,0,125.759777934832,13.7223450588853,45.6576016266877,"2000",173,253.169479634313,12,0,0,1,506.288913329495,604.143525101355,"proficient","W"
"140179",927,112902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,99.4805261728201,-14.9810014187639,99.2519400756233,"2000",180,253.169479634313,12,0,0,1,563.709659929632,666.170979584758,"proficient","W"
"140433",927,1902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,112.100701866222,-26.981075976253,92.6986545176891,"2000",172,253.169479634313,12,0,0,1,549.599679447721,652.483593944362,"proficient","W"
"140632",927,121902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,91.8109238074974,-11.9822409800948,108.974956815664,"2000",160,253.169479634313,12,0,0,1,584.584319596198,682.727952653216,"proficient","W"
"140686",927,94902,8,402,66,1,0,0,0,0,0,1,0,0,0,0,0,83.3176555011245,-2.34354180903844,75.7376167140688,"2000",172,253.169479634313,12,0,0,1,554.157852517539,611.307828457124,"proficient","W"
"141187",941,128495,7,495,45,1,0,0,0,0,1,1,0,0,0,0,0,116.575375342008,10.7081620906991,61.5668751926371,"2000",169,254.448444880242,22,0,1,0,539.401701381659,580.664057259847,"proficient","W"
"141218",941,50495,7,495,45,1,0,0,0,0,1,1,0,0,0,0,0,97.9806076791533,-2.40816567356467,46.2464582574715,"2000",170,254.448444880242,22,0,1,0,481.665940238834,515.504600584067,"proficient","W"
"141331",941,116495,7,495,45,1,0,0,0,0,1,1,0,0,0,0,0,110.198459101271,21.1916907934968,61.2920111089184,"2000",165,254.448444880242,22,0,1,0,492.121407535611,584.170571617175,"proficient","W"
"141506",941,116705,7,205,75,1,0,0,0,0,1,1,0,0,0,0,1,91.7125009080465,-60.6941108888952,61.4845456432498,"2000",144,254.448444880242,22,0,1,0,498.799401186687,499.465368688171,"proficient","W"
"141674",941,139205,7,205,15,1,0,0,0,0,1,1,0,0,0,0,0,97.8186869878873,-14.2087034665992,57.1607021625457,"2000",159,254.448444880242,22,0,1,0,470.613223318007,527.370708543998,"basic","W"
"142022",941,109205,7,205,15,1,0,0,0,0,1,1,0,0,0,0,0,136.82518454088,-41.2594861717955,82.4332078102259,"2000",152,254.448444880242,22,0,1,0,566.789023828143,594.502721931173,"proficient","W"
"142135",941,110495,7,495,45,1,0,0,0,0,1,1,0,0,0,0,0,100.714841357926,28.3346006727895,59.816760270177,"2000",146,254.448444880242,22,0,1,0,474.793058228715,578.609016487971,"basic","W"
"142213",941,110705,7,205,75,1,0,0,0,0,1,1,0,0,0,0,0,105.569121564784,10.3164257813543,68.3013170948806,"2000",160,254.448444880242,22,0,1,0,516.493568989932,583.969064259299,"proficient","W"
"142219",941,91205,7,205,15,1,0,0,0,0,1,1,0,0,0,0,1,83.8736255226329,-7.94438559897781,67.5998189267657,"2000",180,254.448444880242,22,0,1,0,506.199468589178,557.72741332758,"proficient","W"
"142321",941,49205,7,205,15,1,0,0,0,0,1,1,0,0,0,0,1,98.7847117188188,1.82277878440454,44.8338258217995,"2000",172,254.448444880242,22,0,1,0,483.209908572475,532.701718852521,"proficient","W"
"142431",941,90995,7,495,105,1,0,0,0,0,1,1,0,0,0,0,0,84.1968919989455,4.60172054050684,71.7695553807898,"2000",173,254.448444880242,22,0,1,0,481.561174451118,564.454174493845,"proficient","W"
"142515",941,122705,7,205,75,1,0,0,0,0,1,1,0,0,0,0,0,102.499694608186,-38.8829034600363,51.6257576127869,"2000",150,254.448444880242,22,0,1,0,511.343778295599,495.293326453627,"proficient","W"
"142602",941,18995,7,495,105,1,0,0,0,0,1,1,0,0,0,0,0,98.1694184219878,21.3249034792042,63.5462599961892,"2000",159,254.448444880242,22,0,1,0,493.722446725178,577.1963414786,"proficient","W"
"142606",941,47705,7,205,75,1,0,0,0,0,1,1,0,0,0,0,1,109.22511763531,-14.3574425055834,43.9613124409222,"2000",158,254.448444880242,22,0,1,0,501.832579159129,525.056985167637,"proficient","W"
"142771",941,1205,7,205,15,1,0,0,0,0,1,1,0,0,0,0,0,85.4469911497294,21.6337220319971,55.8992665263678,"2000",178,254.448444880242,22,0,1,0,433.686907465476,548.087403831262,"basic","W"
